Program,Worker,Count,CPU_Usage,Time_sec
ProgramA,cpu,2,6.1,0.00
ProgramA,mem,2,9.3,0.01
ProgramA,io,2,16,0.03
ProgramA,cpu,3,32.4,0.02
ProgramA,mem,3,31.7,0.02
ProgramA,io,3,43.3,0.09
ProgramA,cpu,4,89.7,0.02
ProgramA,mem,4,46.4,0.03
ProgramA,io,4,22.9,0.07
ProgramA,cpu,5,9.8,0.00
ProgramA,mem,5,13.6,0.02
ProgramA,io,5,12.8,0.09
ProgramB,cpu,2,7.1,0.00
ProgramB,mem,2,15.9,0.01
ProgramB,io,2,9.2,0.03
ProgramB,cpu,3,9.1,0.00
ProgramB,mem,3,15.3,0.01
ProgramB,io,3,12.6,0.05
ProgramB,cpu,4,9.2,0.00
ProgramB,mem,4,8.2,0.02
ProgramB,io,4,15.7,0.12
ProgramB,cpu,5,53.2,0.00
ProgramB,mem,5,77.8,0.03
ProgramB,io,5,42.5,0.10
ProgramB,cpu,6,35.1,0.01
ProgramB,mem,6,17.4,0.03
ProgramB,io,6,1.7,0.09
ProgramB,cpu,7,5.9,0.00
ProgramB,mem,7,9.2,0.03
ProgramB,io,7,0.9,0.13
ProgramB,cpu,8,2.6,0.00
ProgramB,mem,8,2.4,0.03
ProgramB,io,8,2.5,0.12
